usableAreas,totalAreas,suites,bathrooms,bedrooms,parkingSpaces,neighborhood,monthlyCondoFee,price,adult_game_room,air_conditioning,balcony,barbecue_grill,concierge_24h,dinner_room,electronic_gate,elevator,furnished,garden,gated_community,gourmet_space,gym,intercom,laundry,party_hall,pets_allowed,playground,service_area,sports_court,pool,price_per_sqft
29,49.0,0.0,1,1,0.0,Bigorrilho,213.0,389000,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,7938.775510204082
65,91.0,1.0,2,3,1.0,outros,450.0,449000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4934.065934065934
85,101.0,1.0,2,2,2.0,outros,700.0,880000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8712.871287128713
43,75.0,0.0,1,1,1.0,Centro,668.0,239000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3186.6666666666665
68,68.0,1.0,2,3,1.0,outros,532.01741195093,368500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5419.117647058823
48,48.0,0.0,1,1,0.0,Centro,320.0,144900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3018.75
93,117.0,1.0,2,3,1.0,outros,370.0,818969,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6999.735042735043
87,119.0,1.0,3,3,2.0,outros,580.0,565000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4747.899159663865
78,91.0,1.0,2,3,2.0,outros,350.0,600000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6593.406593406594
74,93.0,1.0,2,2,1.0,Rebouças,450.0,790000,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8494.623655913978
66,109.0,0.0,2,2,1.0,Cabral,744.5350877192982,529900,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,4861.467889908256
64,75.0,1.0,2,3,2.0,outros,532.01741195093,422000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5626.666666666667
81,81.0,1.0,3,3,1.0,Vila Izabel,360.0,497000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6135.802469135802
79,79.0,1.0,2,3,1.0,outros,490.0,520000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6582.278481012659
50,76.0,0.0,1,2,1.0,Portão,415.0,548000,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,7210.526315789473
62,77.0,1.0,2,3,1.0,Água Verde,654.7089985486211,650000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8441.558441558442
91,91.0,1.0,2,3,2.0,Cabral,700.0,899900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9889.010989010989
